course_id,title,language,lesson_count,total_page_count,total_page_item_count,content_tags
3145,Mood Inventories (DRAFT),en-US,11,33,253,"Edovo_Test_Course,Restricted_Visibility"
4277,Chap 1 - 6 P&P for Probation & Parole Division,en-US,5,66,132,"Dawson_County_Only,Information,MSP_MT_DOC_only,MWP_MT_DOC_only,PINEHILLS_MT_DOC_ONLY,Resources,Restricted_Visibility,Riverside_MT_DOC_only"
4160,"LCF - Communication, Mail and Visitation",en-US,7,7,14,"Information,LANSING_KDOC_ONLY,Resources,Restricted_Visibility"
637,Level 2 Reading Practice: Wildlife,en-US,7,14,101,"Academic,Adult_Basic_Education,Assessment_Mult_Choice,Assessment_Short_Answer,COURSE,Content_Performance,Course_Length_2,Earn,English_Language_Arts,GED,GED_prep,Language_Arts,Learn,Level_Intermediate,Level_Literacy_2,PDF,PDF_Reading,Picture_Media,Reading_Practice,Reading_Writing,Text_Item,Time_Completion_Medium"
3968,NCF - Administration,en-US,10,10,20,"Information,NORTON_KDOC_ONLY,Resources,Restricted_Visibility"
4289,Chapter 1 Section 2: Fiscal Management - MT DOC Policy & Procedure,en-US,13,13,26,"Dawson_County_Only,Information,LI_MT_DOC_only,Lewiston_MT_DOC_only,MSP_MT_DOC_only,MWP_MT_DOC_only,PINEHILLS_MT_DOC_ONLY,Resources,Restricted_Visibility,Riverside_MT_DOC_only"
2360,Level 2 Reading Practice: My Time as Caz Hazard,en-US,12,45,48,"Academic,Assessment_Mult_Choice,Assessment_Short_Answer,COURSE,Content_Performance,Course_Length_2,Language_Arts,Level_Intermediate,Level_Literacy_2,PDF,PDF_Reading,Picture_Media,Reading_Practice,Reading_Writing,Text_Item,Time_Completion_Medium"
919,"Math - Interest, Distance, Total Cost, Ratio, Proportions, Measurement, and Percentages",en-US,14,159,217,"Academic,Algebra,COURSE,Earn,GED,GED_prep,Learn,Math,Measurement,Proportion,Rate,Rates_and_Ratios"
4185,Lewiston PREA,en-US,1,2,5,"Information,Lewiston_MT_DOC_only,Resources,Restricted_Visibility"
3577,Next Steps & Surveys,en-US,6,16,100,Restricted_Visibility
945,Eric the Car Guy - Brakes  ,en-US,9,49,179,"COURSE,Cars,Content_Reference,Course_Length_2,Earn,Job_Skills,Jobs,Jobs_Finance,Learn,Level_Beginner,Life,Mechanic,Picture_Media,Reentry_Community,Reference,Text_Item,Time_Completion_Medium,Video_Item,Workplace_Skills"
2404,Level 2 Reading Practice: Kicked Out   ,en-US,10,10,60,"Academic,Assessment_Mult_Choice,COURSE,Content_Performance,Course_Length_2,Language_Arts,Level_Intermediate,Level_Literacy_2,PDF,PDF_Reading,Picture_Media,Reading_Practice,Reading_Writing,Text_Item,Time_Completion_Medium"
4394,Chapter 1 Section 1: General Administration - MT DOC Policy & Procedure Continued,en-US,4,4,8,"Dawson_County_Only,Information,MSP_MT_DOC_only,Resources,Restricted_Visibility"
4039,LCMHF  - Recreation and Offender Activities,en-US,2,2,6,"Information,LARNED_KDOC_ONLY,Resources,Restricted_Visibility"
2044,33 The Series ,en-US,6,36,108,"Earn,Learn"
1935,33 Series ,en-US,6,36,108,"Earn,Learn"
2102,Level 3 Reading Practice - Viola Desmond's Fight for Human Rights,en-US,1,2,18,"Academic,Adult_Basic_Education,Assessment_Essay,Assessment_Mult_Choice,COURSE,Content_Performance,Course_Length_1,Earn,English_Language_Arts,GED,GED_prep,Intermediate,Language_Arts,Learn,Level_Literacy_3,PDF_Reading,Picture_Media,Reading_Practice,Reading_Writing,Text_Item,Time_Completion_Medium"
4378,Peace Education Program - CL,en-US,11,32,111,"COURSE,Earn,Health_Recovery,Learn,Mental_Health"
3646,Life in Christ - Lesson Two,en-US,8,28,93,"CDU,COURSE,Catholic,Christian,Christianity,Earn,Learn,Life,Religion,Religion_Spirituality,Religious,Religious_Study,Spiritual,Spirituality"
1011,RLA - Reading Comprehension I ,en-US,9,99,285,"Academic,Assessment_Mult_Choice,COURSE,Content_Performance,Course_Length_2,Critical_Analysis,Earn,English_Language_Arts,GED,GED_prep,Inference,Interpretation,Language_Arts,Learn,Level_Intermediate,Level_Literacy_4,PDF_Reading,Reading_Practice,Reading_Writing,Sequence,Text_Item,Time_Completion_Medium"
1997,Make BIG TALK: People & Family,en-US,3,24,37,"Assessment_Essay,Assessment_Reflection,COURSE,Content_Performance,Course_Length_1,Earn,Learn,Life,Making_Changes,Personal_Growth,Reentry_Community,Text_Item,Time_Completion_Low"
3586,Overview and Informed Consent,en-US,9,25,179,Restricted_Visibility
1005,"Career Exploration: Business, Management, and Administration ",en-US,10,30,122,"Administration,Advertising,Assessment_Mult_Choice,Business,COURSE,Career_Exploration,Content_Performance,Course_Length_2,Customer_Service,Earn,Human_Resources,Job,Jobs,Jobs_Finance,Learn,Management,Marketing,Public_Relations,Reentry_Community,Reference,Text_Item,Time_Completion_Low,Video_Item"
4326,"Acts of the Apostles: Chapters 6-12, Lesson 2",en-US,9,36,124,"CDU,COURSE,Earn,Learn,Religion,Religion_Spirituality,Religious,Religious_Study,Spirituality"
4180,Riverside PREA ,en-US,1,2,4,"Information,Resources,Restricted_Visibility,Riverside_MT_DOC_only"
1271,Science - Earth and Space Science (CN),en-US,10,121,357,"Earn,Learn"
2186,Homelessness Survey,en-US,1,19,21,"Assessment_Survey,Course_Length_1,Earn,Information,Learn,Level_All,Life,Reentry_Community,Reference,Restricted_Visibility,SURVEY,State_Specific_Course,Text_Item,Time_Completion_Low,sacramento_only"
3907,WWRF - Offender Rules and Discipline,en-US,2,4,5,"Information,Resources,Restricted_Visibility,WWRF_KDOC_ONLY"
3541,"Ten Commandments, Seventh Commandment-Part II, Lesson 2",en-US,6,14,59,"CDU,COURSE,Catholic,Christian,Christianity,Earn,Learn,Life,Religion,Religion_Spirituality,Religious,Religious_Study,Spiritual,Spirituality"
