course_id,title,language,lesson_count,total_page_count,total_page_item_count,content_tags
1818,Copy of Web Development: Introduction to HTML,en-US,9,24,43,"Earn-995,Job_Skills-734,Jobs-1127,Learn-524"
1315,Allegheny Re-Entry Resources ,en-US,8,8,24,"Content_Reference-2233,Course_Length_2-2266,Earn-995,Learn-524,Level_All-2251,Life-872,PDF_Reading-2167,Reentry-116,Reentry_Community-2155,Reference-593,Resources-2437,Restricted_Visibility-2077,State_Specific_Course-1525,Text_Item-2161,Time_Completion_Medium-2314"
4214,La vida en Cristo - Lección Tres,en-US,8,22,77,"CDU-3575,Earn-995,Learn-524,Religion-1040,Religion_Spirituality-449,Religious_Study-2596,Spirituality-971"
4067,EDCF - Sanitation and Hygiene,en-US,3,4,6,"EL_DORADO_KDOC_ONLY-3561,Information-2071,Resources-2437,Restricted_Visibility-2077"
4404,Edovo Forms - Maine DOC - An Introduction and Training Guide,en-US,4,16,46,"COURSE-37,Edovo-1972,Facility-1184,Information-2071,ME_DOC_MCC_ONLY-3618,ME_DOC_MSP_ONLY-3616,ME_DOC_MVCF_ONLY-3617,Resources-2437,Restricted_Visibility-2077"
2962,Georgia Commercial Driver's Licence Practice Test,en-US,9,329,362,"Assessment_Mult_Choice-2203,CDL-1547,Commercial_Driver's_License-1232,Content_Performance-2230,Course_Length_2-2266,Job_Skills-734,Jobs_Finance-635,Level_Intermediate-2257,Outcome_Certificate-2305,PDF_Reading-2167,Reentry_Community-2155,Restricted_Visibility-2077,Test_Prep-398,Text_Item-2161,Time_Completion_Medium-2314"
4333,"Introduction to Mark, Lesson 1",en-US,8,26,91,"CDU-3575,Earn-995,Learn-524,Religion-1040,Religion_Spirituality-449,Religious_Study-2596,Spirituality-971"
751,Houses of Healing - A Prisoner's Guide to Inner Power and Freedom,en-US,13,121,375,"Anger_Management-2629,Assessment_Essay-2200,Assessment_Mult_Choice-2203,Assessment_Reflection-2194,Assessment_Short_Answer-2197,COURSE-37,Course_Length_2-2266,Earn-995,Health_Recovery-2149,Incarceration-869,Jail-2656,Learn-524,Level_Intermediate-2257,Life-872,Making_Changes-731,Mental_Health-1916,PDF_Reading-2167,Personal_Growth-2593,Picture_Media-2188,Prison-1343,Reentry_Community-2155,Text_Item-2161,Time_Completion_Medium-2314,Treatment_Oriented-2455,Video_Item-2185"
957,Eric the Car Guy - HVAC ,en-US,8,42,163,"COURSE-37,Cars-2716,Content_Reference-2233,Course_Length_2-2266,Earn-995,HVAC-2950,Job_Skills-734,Jobs-1127,Jobs_Finance-635,Learn-524,Level_Beginner-2254,Mechanic-2797,Picture_Media-2188,Reentry_Community-2155,Reference-593,Text_Item-2161,Time_Completion_Medium-2314,Video_Item-2185,Workplace_Skills-2431"
3355,Drawing: The Fundamentals ,en-US,9,24,98,"Academic-437,Art-308,Art_History-992,COURSE-37,Creative-722,Earn-995,How_It_Works-179,Introduction_to_Art_History-857,Learn-524,Life-872"
4205,Profesión de Fe - Lección Cuatro: Sección Dos,en-US,11,32,104,"CDU-3575,Earn-995,Learn-524,Life-872,Religion-1040,Religion_Spirituality-449,Religious_Study-2596"
4091,Introduction to Health Screening (IYH),en-US,1,1,3,"Bartow_Only-3600,Christian_County_Only-3601,LI_MT_DOC_only-3557,MAINE_DOC_ONLY-3577,MSP_MT_DOC_only-3559,MWP_MT_DOC_only-3560,PINEHILLS_MT_DOC_ONLY-3587,Restricted_Visibility-2077,Riverside_MT_DOC_only-3558,Woodford_Only-3602"
4240,"Vaticano II: La Constitución Dogmática sobre la Iglesia: Lumen Gentium - Parte I, Lección Uno",en-US,7,31,93,"CDU-3575,Religion-1040,Religion_Spirituality-449,Religious_Study-2596,Spirituality-971"
3871,TCF - Social Services,en-US,4,4,8,"Information-2071,Resources-2437,Restricted_Visibility-2077,TCF_KDOC_ONLY-3549"
