id,user_id,facility_id,created_at,updated_at
132308,887,268,2019-12-06 16:04:38.687,2019-12-06 16:04:38.687
132338,887,439,2019-12-06 16:04:38.741,2019-12-06 16:04:38.741
132368,887,673,2019-12-06 16:04:38.795,2019-12-06 16:04:38.795
132398,887,15,2019-12-06 16:04:38.846,2019-12-06 16:04:38.846
132428,3586,538,2019-12-06 16:05:02.553,2019-12-06 16:05:02.553
132687,227,696,2019-12-09 15:07:33.96,2019-12-09 15:07:33.96
132745,564,394,2019-12-09 15:08:21.845,2019-12-09 15:08:21.845
132882,4161,661,2019-12-12 19:29:00.669,2019-12-12 19:29:00.669
132912,3153,673,2019-12-16 11:18:08.704,2019-12-16 11:18:08.704
132942,2740,673,2019-12-16 11:26:06.727,2019-12-16 11:26:06.727
133731,4219,714,2019-12-30 06:39:44.815,2019-12-30 06:39:44.815
134534,1360,280,2020-01-15 11:04:12.416,2020-01-15 11:04:12.416
134564,1360,439,2020-01-15 11:04:12.465,2020-01-15 11:04:12.465
134594,1360,661,2020-01-15 11:04:12.515,2020-01-15 11:04:12.515
134624,1360,547,2020-01-15 11:04:12.564,2020-01-15 11:04:12.564
134654,1360,117,2020-01-15 11:04:12.615,2020-01-15 11:04:12.615
135826,4282,712,2020-01-16 14:39:26.926,2020-01-16 14:39:26.926
135856,4312,712,2020-01-16 14:39:27.197,2020-01-16 14:39:27.197
138000,3441,529,2020-01-30 11:10:16.994,2020-01-30 11:10:16.994
138030,3441,704,2020-01-30 11:10:17.044,2020-01-30 11:10:17.044
138060,3441,21,2020-01-30 11:10:17.094,2020-01-30 11:10:17.094
138090,3441,697,2020-01-30 11:10:17.146,2020-01-30 11:10:17.146
138120,3441,221,2020-01-30 11:10:17.196,2020-01-30 11:10:17.196
138735,4045,298,2020-02-03 11:50:49.64,2020-02-03 11:50:49.64
138765,4045,683,2020-02-03 11:50:49.691,2020-02-03 11:50:49.691
138795,4045,433,2020-02-03 11:50:49.744,2020-02-03 11:50:49.744
138825,4045,625,2020-02-03 11:50:49.794,2020-02-03 11:50:49.794
138855,4355,720,2020-02-03 15:22:08.514,2020-02-03 15:22:08.514
140096,2470,511,2020-02-12 11:38:05.094,2020-02-12 11:38:05.094
140126,2470,123,2020-02-12 11:38:05.145,2020-02-12 11:38:05.145
140156,2470,667,2020-02-12 11:38:05.194,2020-02-12 11:38:05.194
140186,2470,211,2020-02-12 11:38:05.243,2020-02-12 11:38:05.243
140216,2470,322,2020-02-12 11:38:05.297,2020-02-12 11:38:05.297
140399,1528,7,2020-02-13 13:20:13.739,2020-02-13 13:20:13.739
140601,2344,292,2020-02-17 13:20:18.041,2020-02-17 13:20:18.041
140631,2344,370,2020-02-17 13:20:18.161,2020-02-17 13:20:18.161
140661,2344,679,2020-02-17 13:20:18.25,2020-02-17 13:20:18.25
140691,2344,358,2020-02-17 13:20:18.35,2020-02-17 13:20:18.35
141131,39,295,2020-02-18 12:19:11.183,2020-02-18 12:19:11.183
141161,39,622,2020-02-18 12:19:11.289,2020-02-18 12:19:11.289
141191,39,205,2020-02-18 12:19:11.411,2020-02-18 12:19:11.411
141221,39,178,2020-02-18 12:19:11.519,2020-02-18 12:19:11.519
142176,941,286,2020-02-24 16:12:44.599,2020-02-24 16:12:44.599
142206,941,556,2020-02-24 16:12:44.648,2020-02-24 16:12:44.648
142236,941,710,2020-02-24 16:12:44.696,2020-02-24 16:12:44.696
142266,941,679,2020-02-24 16:12:44.745,2020-02-24 16:12:44.745
142296,941,550,2020-02-24 16:12:44.794,2020-02-24 16:12:44.794
142326,941,695,2020-02-24 16:12:44.843,2020-02-24 16:12:44.843
142356,941,478,2020-02-24 16:12:44.893,2020-02-24 16:12:44.893
142575,2473,538,2020-02-25 17:33:09.521,2020-02-25 17:33:09.521
142605,2473,13,2020-02-25 17:33:09.57,2020-02-25 17:33:09.57
142635,2473,217,2020-02-25 17:33:09.62,2020-02-25 17:33:09.62
142665,2473,322,2020-02-25 17:33:09.669,2020-02-25 17:33:09.669
142695,2473,2,2020-02-25 17:33:09.719,2020-02-25 17:33:09.719
144931,4316,69,2020-03-11 13:32:11.476,2020-03-11 13:32:11.476
145329,4401,700,2020-03-11 15:27:30.50,2020-03-11 15:27:30.50
145753,995,24,2020-03-12 17:53:11.599,2020-03-12 17:53:11.599
145783,995,239,2020-03-12 17:53:11.652,2020-03-12 17:53:11.652
145813,995,61,2020-03-12 17:53:11.704,2020-03-12 17:53:11.704
150646,3426,277,2020-04-01 10:12:49.018,2020-04-01 10:12:49.018
150676,3426,568,2020-04-01 10:12:49.071,2020-04-01 10:12:49.071
150706,3426,643,2020-04-01 10:12:49.123,2020-04-01 10:12:49.123
150736,3426,205,2020-04-01 10:12:49.188,2020-04-01 10:12:49.188
150766,3426,490,2020-04-01 10:12:49.243,2020-04-01 10:12:49.243
150796,554,72,2020-04-01 13:57:05.322,2020-04-01 13:57:05.322
150984,3990,454,2020-04-02 14:42:41.522,2020-04-02 14:42:41.522
151014,3919,454,2020-04-02 14:47:30.987,2020-04-02 14:47:30.987
151210,3278,454,2020-04-02 15:54:01.952,2020-04-02 15:54:01.952
151248,3904,466,2020-04-03 11:45:09.366,2020-04-03 11:45:09.366
151284,3871,466,2020-04-03 12:41:31.323,2020-04-03 12:41:31.323
151318,3283,466,2020-04-05 17:26:34.048,2020-04-05 17:26:34.048
151360,3271,466,2020-04-05 17:54:09.392,2020-04-05 17:54:09.392
151399,3281,466,2020-04-06 14:33:10.743,2020-04-06 14:33:10.743
151437,1798,466,2020-04-06 14:43:16.717,2020-04-06 14:43:16.717
151469,3899,466,2020-04-06 16:10:34.283,2020-04-06 16:10:34.283
151501,1837,454,2020-04-07 11:40:22.333,2020-04-07 11:40:22.333
151539,3872,454,2020-04-07 11:56:19.767,2020-04-07 11:56:19.767
151577,3391,463,2020-04-07 12:39:03.611,2020-04-07 12:39:03.611
151768,4546,709,2020-04-08 18:05:53.073,2020-04-08 18:05:53.073
152449,4562,652,2020-04-22 18:03:51.237,2020-04-22 18:03:51.237
153450,4596,682,2020-04-28 10:20:06.678,2020-04-28 10:20:06.678
153480,4617,673,2020-04-28 12:05:14.997,2020-04-28 12:05:14.997
153515,4013,466,2020-04-28 15:07:06.964,2020-04-28 15:07:06.964
154634,4621,723,2020-05-01 10:02:01.385,2020-05-01 10:02:01.385
156519,4649,493,2020-05-14 13:26:38.479,2020-05-14 13:26:38.479
156554,3148,679,2020-05-15 12:10:05.596,2020-05-15 12:10:05.596
156585,2748,673,2020-05-15 12:35:01.153,2020-05-15 12:35:01.153
156615,443,475,2020-05-18 09:27:44.026,2020-05-18 09:27:44.026
156645,503,325,2020-05-18 09:28:13.498,2020-05-18 09:28:13.498
156675,893,683,2020-05-18 09:28:45.907,2020-05-18 09:28:45.907
156705,1405,406,2020-05-18 09:29:26.745,2020-05-18 09:29:26.745
156735,899,538,2020-05-18 09:29:58.645,2020-05-18 09:29:58.645
156765,899,493,2020-05-18 09:29:58.697,2020-05-18 09:29:58.697
156795,1387,697,2020-05-18 09:30:40.693,2020-05-18 09:30:40.693
156825,1129,692,2020-05-18 09:31:58.695,2020-05-18 09:31:58.695
156855,1225,138,2020-05-18 09:32:38.638,2020-05-18 09:32:38.638
156885,2326,696,2020-05-18 09:33:10.644,2020-05-18 09:33:10.644
156915,2326,705,2020-05-18 09:33:10.694,2020-05-18 09:33:10.694
156945,368,475,2020-05-18 09:33:52.117,2020-05-18 09:33:52.117
156975,3497,325,2020-05-18 09:34:22.374,2020-05-18 09:34:22.374
157005,4335,683,2020-05-18 09:34:59.735,2020-05-18 09:34:59.735
157972,2560,394,2020-05-18 13:05:32.082,2020-05-18 13:05:32.082
158311,3468,358,2020-05-22 09:56:19.215,2020-05-22 09:56:19.215
